No,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
274,Wolof,Wolof,wo,"1,741","5,563","107,049",1,"16,989",25,0,92
275,Jamaican Creole English,Patois,jam,"1,732","3,134","22,658",1,"11,516",26,0,4
276,Kabiye,Kabɩyɛ,kbp,"1,714","3,448","18,565",1,"5,564",14,0,5
277,Central Dusun,Kadazandusun,dtp,"1,706","7,177","22,926",3,"2,138",24,0,32
278,Fanti,mfantse,fat,"1,665","4,608","24,395",2,"2,203",20,0,16
279,Angika,अंगिका,anp,"1,661","5,209","22,548",1,"3,295",22,0,19
280,Kabardian,адыгэбзэ,kbd,"1,637","7,100","48,514",2,"11,190",18,0,76
281,Fijian,Na Vosa Vakaviti,fj,"1,612","4,343","37,992",1,"10,407",18,0,25
282,Kalmyk,хальмг,xal,"1,597","12,356","92,141",1,"11,024",22,0,338
283,N’Ko,ߒߞߏ,nqo,"1,569","3,401","12,533",1,"5,433",25,0,5
284,Kongo,Kongo,kg,"1,567","4,018","48,243",2,"12,401",17,0,29
285,Gun,gungbe,guw,"1,558","2,770","43,023",4,"2,204",20,0,9
286,Central Kanuri,Yerwa Kanuri,knc,"1,525","2,395","27,012",3,"1,001",16,0,3
287,Southern Sotho,Sesotho,st,"1,521","5,378","35,038",1,"12,187",30,0,41
288,Nigerian Pidgin,Naijá,pcm,"1,510","2,763","29,879",4,"3,077",25,0,7
289,Bislama,Bislama,bi,"1,479","3,440","43,915",1,"14,905",23,0,22
290,Tyap,Tyap,kcg,"1,450","6,324","38,803",2,"2,520",16,1,69
291,Tok Pisin,Tok Pisin,tpi,"1,405","5,792","89,412",1,"15,484",27,0,150
292,Aromanian,armãneashti,roa-rup,"1,389","4,622","209,120",1,"15,434",21,0,245
293,Tetum,tetun,tet,"1,380","3,952","69,658",2,"10,966",17,0,61
294,Lojban,la .lojban.,jbo,"1,348","5,816","113,587",1,"18,888",22,0,214
295,Church Slavic,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,cu,"1,310","5,884","86,558",1,"28,352",26,0,179
